Record Length,40000,,Source,CH1,CH2
Sample Interval,CH1:0.0003999999899 CH2:0.0003999999899,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-8.00000000000,-3.60000,-1.20000
Vertical Scale,CH1:5.00 CH2:5.00,,-7.99959993362,-3.60000,-1.20000
Vertical Offset,CH1:0.00 CH2:0.00,,-7.99919986725,-3.40000,-1.20000
Horizontal Units,s,,-7.99879980087,-3.60000,-1.20000
Horizontal Scale,1.0000000000,,-7.99839973450,-3.60000,-1.20000
Model Number,2190E,,-7.99799966812,-3.60000,-1.00000
Serial Number,512C18110,,-7.99759960175,-3.60000,-1.20000
Software Version,6.01.01.19,,-7.99720001221,-3.60000,-1.00000
,,,-7.99679994583,-3.60000,-1.20000
,,,-7.99639987946,-3.60000,-1.20000
,,,-7.99599981308,-3.40000,-1.20000
,,,-7.99559974670,-3.60000,-1.00000
,,,-7.99519968033,-3.60000,-1.20000
,,,-7.99479961395,-3.60000,-1.20000
,,,-7.99440002441,-3.60000,-1.20000
,,,-7.99399995804,-3.60000,-1.20000
,,,-7.99359989166,-3.60000,-1.00000
,,,-7.99319982529,-3.60000,-1.00000
,,,-7.99279975891,-3.60000,-1.20000
,,,-7.99239969254,-3.60000,-1.00000
,,,-7.99199962616,-3.60000,-1.00000
,,,-7.99159955978,-3.40000,-1.00000
,,,-7.99119997025,-3.60000,-1.20000
,,,-7.99079990387,-3.60000,-1.00000
,,,-7.99039983749,-3.40000,-1.00000
,,,-7.98999977112,-3.60000,-1.20000
,,,-7.98959970474,-3.60000,-1.20000
,,,-7.98919963837,-3.60000,-1.20000
,,,-7.98879957199,-3.60000,-1.20000
,,,-7.98839998245,-3.60000,-1.20000
,,,-7.98799991608,-3.60000,-1.20000
,,,-7.98759984970,-3.60000,-1.00000
,,,-7.98719978333,-3.60000,-1.00000
,,,-7.98679971695,-3.60000,-1.20000
,,,-7.98639965057,-3.60000,-1.00000
,,,-7.98599958420,-3.60000,-1.00000
,,,-7.98559999466,-3.40000,-1.00000
,,,-7.98519992828,-3.60000,-1.00000
,,,-7.98479986191,-3.40000,-1.00000
,,,-7.98439979553,-3.60000,-1.00000
,,,-7.98399972916,-3.60000,-1.20000
,,,-7.98359966278,-3.40000,-1.20000
,,,-7.98319959641,-3.60000,-1.00000
,,,-7.98280000687,-3.60000,-1.20000
,,,-7.98239994049,-3.60000,-1.20000
,,,-7.98199987411,-3.60000,-1.00000
,,,-7.98159980774,-3.60000,-1.00000
