Model,MSO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.4,,,
Sample Interval,3.2e-05,,,
Filter Frequency,2e+08,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.99645e+00,4.72,4.64,-0.84,-0.92
-1.99642e+00,4.72,4.8,-0.84,-0.76
-1.99638e+00,4.72,4.56,-0.92,-0.92
-1.99635e+00,4.72,4.8,-0.92,-0.76
-1.99632e+00,4.72,4.64,-0.84,-1
-1.99629e+00,4.72,4.8,-0.84,-0.76
-1.99626e+00,4.72,4.64,-0.84,-0.92
-1.99622e+00,4.72,4.8,-0.84,-0.76
-1.99619e+00,4.64,4.56,-0.84,-0.92
-1.99616e+00,4.72,4.88,-0.84,-0.76
-1.99613e+00,4.64,4.56,-0.92,-0.92
-1.99610e+00,4.72,4.8,-0.84,-0.76
-1.99606e+00,4.72,4.64,-0.92,-0.92
-1.99603e+00,4.72,4.8,-0.84,-0.76
-1.99600e+00,4.72,4.56,-0.84,-0.92
-1.99597e+00,4.64,4.8,-0.84,-0.76
-1.99594e+00,4.72,4.56,-0.84,-0.92
-1.99590e+00,4.64,4.88,-0.84,-0.76
-1.99587e+00,4.72,4.64,-0.84,-0.92
-1.99584e+00,4.64,4.8,-0.84,-0.76
-1.99581e+00,4.72,4.64,-0.76,-0.92
-1.99578e+00,4.72,4.8,-0.84,-0.76
-1.99574e+00,4.72,4.64,-0.84,-0.92
-1.99571e+00,4.64,4.8,-0.84,-0.76
-1.99568e+00,4.64,4.56,-0.84,-0.92
-1.99565e+00,4.64,4.88,-0.84,-0.76
-1.99562e+00,4.64,4.56,-0.84,-0.92
-1.99558e+00,4.72,4.8,-0.84,-0.76
-1.99555e+00,4.64,4.64,-0.84,-0.92
-1.99552e+00,4.72,4.8,-0.92,-0.76
-1.99549e+00,4.72,4.56,-0.84,-0.92
-1.99546e+00,4.72,4.8,-0.92,-0.76
-1.99542e+00,4.72,4.56,-0.84,-0.92
-1.99539e+00,4.72,4.8,-0.92,-0.76
-1.99536e+00,4.64,4.56,-0.84,-0.92
-1.99533e+00,4.72,4.8,-0.84,-0.76
-1.99530e+00,4.72,4.56,-0.84,-0.92
-1.99526e+00,4.72,4.8,-0.84,-0.76
-1.99523e+00,4.72,4.64,-0.84,-0.92
-1.99520e+00,4.64,4.8,-0.84,-0.76
-1.99517e+00,4.72,4.56,-0.76,-0.92
-1.99514e+00,4.72,4.8,-0.84,-0.76
-1.99510e+00,4.72,4.64,-0.84,-0.92
-1.99507e+00,4.72,4.8,-0.84,-0.76
-1.99504e+00,4.64,4.64,-0.84,-0.92
-1.99501e+00,4.72,4.8,-0.84,-0.76
-1.99498e+00,4.64,4.56,-0.84,-0.92
-1.99494e+00,4.64,4.8,-0.92,-0.76
-1.99491e+00,4.72,4.56,-0.84,-0.92
-1.99488e+00,4.64,4.8,-0.84,-0.76
-1.99485e+00,4.72,4.56,-0.84,-0.92
-1.99482e+00,4.72,4.8,-0.84,-0.76
-1.99478e+00,4.64,4.56,-0.92,-0.92
-1.99475e+00,4.72,4.8,-0.84,-0.76
-1.99472e+00,4.64,4.56,-0.84,-0.92
-1.99469e+00,4.64,4.8,-0.84,-0.76
-1.99466e+00,4.72,4.56,-0.84,-0.92
-1.99462e+00,4.72,4.8,-0.76,-0.76
-1.99459e+00,4.72,4.56,-0.84,-0.92
-1.99456e+00,4.72,4.8,-0.84,-0.76
-1.99453e+00,4.72,4.56,-0.84,-0.92
-1.99450e+00,4.72,4.8,-0.92,-0.76
-1.99446e+00,4.64,4.56,-0.84,-0.92
-1.99443e+00,4.64,4.8,-0.84,-0.76
-1.99440e+00,4.72,4.56,-0.84,-0.92
-1.99437e+00,4.64,4.88,-0.84,-0.76
-1.99434e+00,4.72,4.56,-0.84,-0.92
-1.99430e+00,4.72,4.8,-0.84,-0.76
-1.99427e+00,4.64,4.56,-0.84,-0.92
-1.99424e+00,4.72,4.8,-0.84,-0.76
-1.99421e+00,4.64,4.56,-0.92,-0.92
-1.99418e+00,4.64,4.8,-0.84,-0.76
-1.99414e+00,4.64,4.56,-0.84,-0.92
-1.99411e+00,4.72,4.8,-0.92,-0.76
-1.99408e+00,4.72,4.56,-0.84,-0.92
-1.99405e+00,4.72,4.8,-0.84,-0.76
-1.99402e+00,4.72,4.56,-0.84,-0.92
-1.99398e+00,4.64,4.8,-0.84,-0.76
-1.99395e+00,4.64,4.56,-0.84,-0.92
-1.99392e+00,4.64,4.8,-0.84,-0.76
-1.99389e+00,4.72,4.56,-0.76,-0.92
-1.99386e+00,4.64,4.8,-0.84,-0.76
-1.99382e+00,4.64,4.56,-0.84,-0.92
-1.99379e+00,4.64,4.8,-0.92,-0.76
-1.99376e+00,4.72,4.56,-0.84,-0.92
-1.99373e+00,4.64,4.8,-0.84,-0.76
-1.99370e+00,4.64,4.56,-0.84,-0.92
-1.99366e+00,4.72,4.8,-0.84,-0.76
-1.99363e+00,4.72,4.56,-0.84,-0.92
-1.99360e+00,4.64,4.88,-0.84,-0.76
-1.99357e+00,4.64,4.56,-0.84,-0.92
-1.99354e+00,4.64,4.8,-0.84,-0.76
-1.99350e+00,4.72,4.56,-0.84,-0.92
-1.99347e+00,4.64,4.8,-0.84,-0.76
-1.99344e+00,4.72,4.56,-0.84,-0.92
-1.99341e+00,4.72,4.8,-0.84,-0.76
-1.99338e+00,4.64,4.56,-0.84,-1
-1.99334e+00,4.72,4.88,-0.84,-0.76
-1.99331e+00,4.64,4.56,-0.84,-0.92
-1.99328e+00,4.64,4.8,-0.84,-0.68
-1.99325e+00,4.72,4.56,-0.84,-0.92
-1.99322e+00,4.72,4.8,-0.84,-0.76
-1.99318e+00,4.72,4.56,-0.84,-0.92
-1.99315e+00,4.72,4.8,-0.84,-0.76
-1.99312e+00,4.72,4.56,-0.84,-0.92
-1.99309e+00,4.64,4.8,-0.84,-0.76
-1.99306e+00,4.64,4.56,-0.84,-0.92
-1.99302e+00,4.64,4.8,-0.84,-0.76
-1.99299e+00,4.72,4.56,-0.84,-0.92
-1.99296e+00,4.64,4.8,-0.84,-0.76
-1.99293e+00,4.64,4.56,-0.92,-0.92
-1.99290e+00,4.72,4.8,-0.84,-0.76
-1.99286e+00,4.64,4.56,-0.84,-0.92
-1.99283e+00,4.72,4.8,-0.84,-0.76
-1.99280e+00,4.64,4.56,-0.84,-0.92
-1.99277e+00,4.64,4.8,-0.84,-0.76
-1.99274e+00,4.72,4.56,-0.84,-0.92
-1.99270e+00,4.64,4.8,-0.84,-0.76
-1.99267e+00,4.64,4.56,-0.84,-0.92
-1.99264e+00,4.72,4.8,-0.84,-0.76
-1.99261e+00,4.64,4.56,-0.84,-0.92
-1.99258e+00,4.72,4.8,-0.92,-0.76
-1.99254e+00,4.64,4.56,-0.84,-0.92
-1.99251e+00,4.64,4.8,-0.92,-0.76
-1.99248e+00,4.64,4.56,-0.84,-0.92
-1.99245e+00,4.64,4.8,-0.84,-0.76
-1.99242e+00,4.64,4.56,-0.84,-0.92
-1.99238e+00,4.72,4.8,-0.84,-0.76
-1.99235e+00,4.64,4.56,-0.84,-1
-1.99232e+00,4.64,4.88,-0.84,-0.76
-1.99229e+00,4.64,4.56,-0.84,-0.92
-1.99226e+00,4.64,4.8,-0.84,-0.76
-1.99222e+00,4.64,4.56,-0.84,-0.92
-1.99219e+00,4.64,4.8,-0.84,-0.76
-1.99216e+00,4.64,4.56,-0.84,-1
-1.99213e+00,4.72,4.8,-0.84,-0.76
-1.99210e+00,4.72,4.56,-0.84,-0.92
-1.99206e+00,4.64,4.8,-0.84,-0.76
-1.99203e+00,4.64,4.56,-0.84,-0.92
-1.99200e+00,4.64,4.8,-0.84,-0.76
-1.99197e+00,4.72,4.56,-0.84,-0.92
-1.99194e+00,4.64,4.8,-0.84,-0.76
-1.99190e+00,4.64,4.56,-0.84,-0.92
-1.99187e+00,4.64,4.8,-0.92,-0.76
-1.99184e+00,4.64,4.56,-0.76,-0.92
-1.99181e+00,4.72,4.8,-0.84,-0.76
-1.99178e+00,4.64,4.56,-0.84,-0.92
-1.99174e+00,4.72,4.8,-0.84,-0.76
-1.99171e+00,4.72,4.56,-0.92,-0.92
-1.99168e+00,4.64,4.8,-0.84,-0.76
-1.99165e+00,4.72,4.56,-0.92,-0.92
-1.99162e+00,4.64,4.8,-0.76,-0.68
-1.99158e+00,4.64,4.56,-0.84,-0.92
-1.99155e+00,4.72,4.8,-0.84,-0.76
-1.99152e+00,4.64,4.56,-0.92,-0.92
-1.99149e+00,4.64,4.8,-0.84,-0.76
-1.99146e+00,4.72,4.56,-0.84,-0.92
-1.99142e+00,4.72,4.8,-0.84,-0.76
-1.99139e+00,4.64,4.56,-0.84,-0.92
-1.99136e+00,4.64,4.8,-0.84,-0.76
-1.99133e+00,4.64,4.56,-0.84,-0.92
-1.99130e+00,4.64,4.8,-0.84,-0.76
-1.99126e+00,4.72,4.56,-0.84,-0.92
-1.99123e+00,4.64,4.8,-0.84,-0.76
-1.99120e+00,4.64,4.56,-0.84,-0.92
-1.99117e+00,4.64,4.8,-0.84,-0.76
