Model,MSO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.4,,,
Sample Interval,3.2e-05,,,
Filter Frequency,2e+08,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.53082e+00,2.48,2.56,0.04,0.12
-1.53078e+00,2.48,2.08,0.04,-0.28
-1.53075e+00,2.4,2.72,0.04,0.28
-1.53072e+00,2.48,2.4,0.04,-0.12
-1.53069e+00,2.4,2.56,0.04,0.12
-1.53066e+00,2.4,2.32,0.04,-0.04
-1.53062e+00,2.48,2.56,-0.04,0.12
-1.53059e+00,2.48,2,0.04,-0.28
-1.53056e+00,2.48,2.64,0.04,0.2
-1.53053e+00,2.48,2.32,0.04,-0.04
-1.53050e+00,2.48,2.56,0.04,0.12
-1.53046e+00,2.4,2.4,0.04,-0.04
-1.53043e+00,2.4,2.56,0.04,0.12
-1.53040e+00,2.4,1.92,0.04,-0.36
-1.53037e+00,2.4,2.72,0.04,0.28
-1.53034e+00,2.48,2.32,0.04,-0.04
-1.53030e+00,2.48,2.56,-0.04,0.2
-1.53027e+00,2.48,2.32,0.04,-0.04
-1.53024e+00,2.48,2.56,-0.04,0.12
-1.53021e+00,2.4,2,0.04,-0.36
-1.53018e+00,2.48,2.72,0.04,0.28
-1.53014e+00,2.48,2.32,0.04,-0.04
-1.53011e+00,2.48,2.56,0.04,0.12
-1.53008e+00,2.48,2.32,0.04,-0.04
-1.53005e+00,2.48,2.56,0.04,0.2
-1.53002e+00,2.48,2,0.04,-0.36
-1.52998e+00,2.48,2.72,0.04,0.28
-1.52995e+00,2.4,2.4,0.04,-0.12
-1.52992e+00,2.4,2.56,0.04,0.12
-1.52989e+00,2.4,2,0.04,-0.28
-1.52986e+00,2.48,2.64,0.04,0.28
-1.52982e+00,2.48,2.32,0.04,-0.04
-1.52979e+00,2.48,2.56,0.04,0.2
-1.52976e+00,2.48,2.4,0.04,-0.04
-1.52973e+00,2.48,2.56,-0.04,0.12
-1.52970e+00,2.48,2,0.04,-0.28
-1.52966e+00,2.4,2.64,0.04,0.2
-1.52963e+00,2.4,2.32,0.04,-0.04
-1.52960e+00,2.48,2.56,0.04,0.12
-1.52957e+00,2.48,2.32,0.04,-0.04
-1.52954e+00,2.48,2.56,-0.04,0.2
-1.52950e+00,2.48,2,0.04,-0.28
-1.52947e+00,2.48,2.64,-0.04,0.2
-1.52944e+00,2.4,2.32,-0.04,-0.04
-1.52941e+00,2.4,2.56,0.04,0.12
-1.52938e+00,2.4,2.32,0.04,-0.04
-1.52934e+00,2.4,2.56,0.04,0.12
-1.52931e+00,2.48,1.92,0.04,-0.36
-1.52928e+00,2.48,2.64,0.04,0.28
-1.52925e+00,2.48,2.32,-0.04,-0.04
-1.52922e+00,2.4,2.56,0.04,0.2
-1.52918e+00,2.48,2,0.04,-0.36
-1.52915e+00,2.4,2.72,0.04,0.28
-1.52912e+00,2.4,2.32,0.04,-0.04
-1.52909e+00,2.4,2.56,0.04,0.12
-1.52906e+00,2.48,2.32,0.04,-0.04
-1.52902e+00,2.48,2.56,0.04,0.2
-1.52899e+00,2.4,2.08,-0.04,-0.28
-1.52896e+00,2.48,2.64,0.04,0.28
-1.52893e+00,2.4,2.4,0.04,-0.12
-1.52890e+00,2.4,2.56,0.04,0.12
-1.52886e+00,2.4,2.32,0.04,-0.04
-1.52883e+00,2.48,2.56,0.04,0.2
-1.52880e+00,2.4,2,0.04,-0.28
-1.52877e+00,2.48,2.64,0.04,0.28
-1.52874e+00,2.48,2.32,-0.04,-0.04
-1.52870e+00,2.48,2.56,0.04,0.12
-1.52867e+00,2.4,2.4,0.04,-0.04
-1.52864e+00,2.4,2.56,0.04,0.12
-1.52861e+00,2.4,2,0.04,-0.28
-1.52858e+00,2.4,2.64,0.04,0.2
-1.52854e+00,2.48,2.32,0.04,-0.04
-1.52851e+00,2.48,2.56,-0.04,0.2
-1.52848e+00,2.4,2,-0.04,-0.36
-1.52845e+00,2.48,2.72,0.04,0.28
-1.52842e+00,2.4,2.32,0.04,-0.12
-1.52838e+00,2.4,2.56,-0.04,0.12
-1.52835e+00,2.4,2.32,0.04,-0.04
-1.52832e+00,2.4,2.56,0.04,0.2
-1.52829e+00,2.4,1.92,0.04,-0.36
-1.52826e+00,2.48,2.64,-0.04,0.28
-1.52822e+00,2.48,2.32,-0.04,-0.12
-1.52819e+00,2.48,2.56,0.04,0.12
-1.52816e+00,2.48,2.32,0.04,-0.04
-1.52813e+00,2.4,2.56,0.04,0.12
-1.52810e+00,2.4,1.92,0.04,-0.44
-1.52806e+00,2.4,2.64,0.04,0.28
-1.52803e+00,2.48,2.32,0.04,-0.04
-1.52800e+00,2.48,2.56,0.04,0.2
-1.52797e+00,2.48,2.32,0.04,-0.04
-1.52794e+00,2.4,2.56,0.04,0.12
-1.52790e+00,2.4,2,0.04,-0.28
-1.52787e+00,2.4,2.64,0.04,0.28
-1.52784e+00,2.4,2.32,0.04,-0.04
-1.52781e+00,2.4,2.48,-0.04,0.2
-1.52778e+00,2.48,2,-0.04,-0.28
-1.52774e+00,2.48,2.64,0.04,0.2
-1.52771e+00,2.48,2.32,-0.04,-0.04
-1.52768e+00,2.4,2.56,0.04,0.12
-1.52765e+00,2.4,2.32,0.04,-0.04
-1.52762e+00,2.4,2.56,0.04,0.12
-1.52758e+00,2.4,1.92,0.04,-0.36
-1.52755e+00,2.48,2.64,0.04,0.28
-1.52752e+00,2.48,2.32,0.04,-0.04
-1.52749e+00,2.4,2.56,-0.04,0.12
-1.52746e+00,2.4,2.32,0.04,-0.04
-1.52742e+00,2.4,2.56,-0.04,0.12
-1.52739e+00,2.4,1.92,0.04,-0.36
-1.52736e+00,2.32,2.72,0.04,0.28
-1.52733e+00,2.4,2.32,0.04,-0.04
-1.52730e+00,2.4,2.48,0.04,0.12
-1.52726e+00,2.48,2.32,0.04,-0.04
-1.52723e+00,2.48,2.56,0.04,0.2
-1.52720e+00,2.48,2,0.04,-0.36
-1.52717e+00,2.4,2.72,0.04,0.28
-1.52714e+00,2.4,2.32,0.04,-0.12
-1.52710e+00,2.4,2.56,0.04,0.12
-1.52707e+00,2.4,2,0.04,-0.28
-1.52704e+00,2.4,2.64,0.04,0.28
-1.52701e+00,2.4,2.32,0.04,-0.12
-1.52698e+00,2.48,2.56,0.04,0.12
-1.52694e+00,2.4,2.32,0.04,-0.04
-1.52691e+00,2.48,2.56,0.04,0.2
-1.52688e+00,2.4,2,0.04,-0.36
-1.52685e+00,2.4,2.64,0.04,0.2
-1.52682e+00,2.4,2.32,0.04,-0.04
-1.52678e+00,2.4,2.48,0.04,0.12
-1.52675e+00,2.48,2.32,0.04,-0.04
-1.52672e+00,2.48,2.56,0.04,0.2
-1.52669e+00,2.48,2,0.04,-0.36
-1.52666e+00,2.4,2.64,0.04,0.28
-1.52662e+00,2.4,2.32,0.04,-0.04
-1.52659e+00,2.4,2.56,0.04,0.2
-1.52656e+00,2.4,2.32,0.04,-0.04
-1.52653e+00,2.4,2.56,-0.04,0.2
-1.52650e+00,2.48,1.92,0.04,-0.36
-1.52646e+00,2.4,2.64,0.04,0.28
-1.52643e+00,2.4,2.32,0.04,-0.12
-1.52640e+00,2.48,2.56,0.04,0.2
-1.52637e+00,2.4,2,-0.04,-0.36
-1.52634e+00,2.32,2.64,0.04,0.28
-1.52630e+00,2.4,2.32,0.04,-0.04
-1.52627e+00,2.4,2.48,0.04,0.12
-1.52624e+00,2.4,2.32,0.04,-0.04
-1.52621e+00,2.4,2.56,0.04,0.2
-1.52618e+00,2.4,2,0.04,-0.28
-1.52614e+00,2.4,2.64,-0.04,0.2
-1.52611e+00,2.32,2.32,0.04,-0.12
-1.52608e+00,2.4,2.56,0.04,0.12
-1.52605e+00,2.4,2.32,-0.04,-0.04
-1.52602e+00,2.4,2.56,0.04,0.2
-1.52598e+00,2.48,2,0.04,-0.28
-1.52595e+00,2.4,2.64,0.04,0.28
-1.52592e+00,2.4,2.32,0.04,-0.04
-1.52589e+00,2.4,2.56,0.04,0.12
-1.52586e+00,2.4,2.32,0.04,-0.04
-1.52582e+00,2.4,2.56,0.04,0.12
-1.52579e+00,2.4,1.92,0.04,-0.36
-1.52576e+00,2.48,2.64,0.04,0.28
-1.52573e+00,2.48,2.32,-0.04,-0.04
-1.52570e+00,2.48,2.56,0.04,0.2
-1.52566e+00,2.4,2.32,0.04,-0.04
-1.52563e+00,2.4,2.56,0.04,0.12
-1.52560e+00,2.48,2,0.04,-0.36
-1.52557e+00,2.4,2.72,0.04,0.28
-1.52554e+00,2.4,2.24,0.04,-0.04
-1.52550e+00,2.48,2.56,-0.04,0.2
-1.52547e+00,2.4,1.92,0.04,-0.36
-1.52544e+00,2.4,2.64,0.04,0.28
-1.52541e+00,2.48,2.32,0.04,-0.04
-1.52538e+00,2.48,2.56,0.04,0.12
-1.52534e+00,2.4,2.32,-0.04,-0.04
-1.52531e+00,2.4,2.56,0.04,0.12
-1.52528e+00,2.4,1.92,0.04,-0.28
-1.52525e+00,2.4,2.64,0.04,0.28
-1.52522e+00,2.48,2.32,0.04,-0.04
-1.52518e+00,2.4,2.48,-0.04,0.12
-1.52515e+00,2.4,2.32,0.04,-0.04
-1.52512e+00,2.4,2.56,0.04,0.2
-1.52509e+00,2.4,2,0.04,-0.28
-1.52506e+00,2.32,2.64,0.04,0.28
-1.52502e+00,2.48,2.32,0.04,-0.04
-1.52499e+00,2.4,2.56,0.04,0.2
-1.52496e+00,2.48,2.32,0.04,-0.04
-1.52493e+00,2.4,2.56,0.04,0.12
-1.52490e+00,2.48,1.92,0.04,-0.36
-1.52486e+00,2.4,2.72,0.04,0.28
-1.52483e+00,2.4,2.32,0.04,-0.04
-1.52480e+00,2.4,2.56,0.04,0.12
-1.52477e+00,2.4,1.92,0.04,-0.36
-1.52474e+00,2.4,2.64,0.04,0.28
-1.52470e+00,2.4,2.32,0.04,-0.04
-1.52467e+00,2.48,2.56,0.04,0.2
-1.52464e+00,2.4,2.32,0.04,-0.04
-1.52461e+00,2.4,2.56,0.04,0.12
-1.52458e+00,2.4,2,0.04,-0.28
-1.52454e+00,2.4,2.64,0.04,0.28
-1.52451e+00,2.4,2.32,0.04,-0.04
-1.52448e+00,2.4,2.56,0.04,0.2
-1.52445e+00,2.4,2.32,0.04,-0.04
-1.52442e+00,2.4,2.48,0.04,0.2
-1.52438e+00,2.4,2,0.04,-0.28
-1.52435e+00,2.4,2.64,-0.04,0.28
-1.52432e+00,2.4,2.32,0.04,-0.04
-1.52429e+00,2.4,2.56,0.04,0.12
-1.52426e+00,2.4,2.32,0.04,-0.04
-1.52422e+00,2.4,2.56,0.04,0.2
-1.52419e+00,2.48,1.92,0.04,-0.28
-1.52416e+00,2.4,2.64,0.04,0.28
-1.52413e+00,2.4,2.32,0.04,-0.04
-1.52410e+00,2.4,2.56,0.04,0.2
-1.52406e+00,2.4,1.92,0.04,-0.36
-1.52403e+00,2.4,2.64,0.04,0.28
-1.52400e+00,2.4,2.32,0.04,-0.04
-1.52397e+00,2.4,2.56,0.04,0.2
-1.52394e+00,2.4,2.32,0.04,-0.04
-1.52390e+00,2.4,2.48,0.04,0.2
-1.52387e+00,2.4,1.92,0.04,-0.36
-1.52384e+00,2.32,2.72,0.04,0.28
-1.52381e+00,2.4,2.32,0.04,-0.04
-1.52378e+00,2.32,2.48,0.04,0.2
-1.52374e+00,2.48,2.32,0.04,-0.04
-1.52371e+00,2.4,2.56,0.04,0.2
-1.52368e+00,2.4,1.92,0.04,-0.28
-1.52365e+00,2.48,2.64,0.04,0.28
-1.52362e+00,2.4,2.32,0.04,-0.04
-1.52358e+00,2.4,2.56,0.04,0.12
-1.52355e+00,2.4,2.32,0.04,-0.04
-1.52352e+00,2.4,2.56,0.04,0.12
-1.52349e+00,2.4,2,0.04,-0.28
-1.52346e+00,2.48,2.64,0.04,0.28
-1.52342e+00,2.4,2.32,0.04,-0.04
-1.52339e+00,2.4,2.48,0.04,0.2
-1.52336e+00,2.4,2,0.04,-0.28
-1.52333e+00,2.4,2.64,0.04,0.28
-1.52330e+00,2.4,2.32,0.04,-0.04
-1.52326e+00,2.4,2.48,0.04,0.2
-1.52323e+00,2.4,2.32,0.04,-0.04
-1.52320e+00,2.4,2.56,0.04,0.2
-1.52317e+00,2.4,1.92,0.04,-0.36
-1.52314e+00,2.4,2.64,0.04,0.28
-1.52310e+00,2.4,2.32,0.04,-0.04
-1.52307e+00,2.4,2.56,0.04,0.12
-1.52304e+00,2.4,2.32,0.04,-0.04
-1.52301e+00,2.32,2.56,0.04,0.12
-1.52298e+00,2.4,1.92,0.04,-0.36
-1.52294e+00,2.4,2.64,0.04,0.28
-1.52291e+00,2.4,2.24,0.04,-0.04
-1.52288e+00,2.4,2.48,-0.04,0.2
-1.52285e+00,2.4,2.32,0.04,-0.04
-1.52282e+00,2.4,2.56,0.04,0.2
-1.52278e+00,2.4,2,0.04,-0.28
-1.52275e+00,2.4,2.64,0.04,0.2
-1.52272e+00,2.4,2.32,0.04,-0.04
-1.52269e+00,2.4,2.56,-0.04,0.2
-1.52266e+00,2.4,2,0.04,-0.28
-1.52262e+00,2.48,2.64,0.04,0.28
-1.52259e+00,2.4,2.32,0.04,-0.04
-1.52256e+00,2.4,2.56,0.04,0.12
-1.52253e+00,2.4,2.32,0.04,-0.04
-1.52250e+00,2.4,2.48,0.04,0.2
-1.52246e+00,2.4,1.92,0.04,-0.28
-1.52243e+00,2.4,2.64,-0.04,0.28
-1.52240e+00,2.4,2.32,0.04,-0.04
-1.52237e+00,2.4,2.48,0.04,0.2
-1.52234e+00,2.4,2.32,-0.04,-0.04
-1.52230e+00,2.4,2.56,0.04,0.12
-1.52227e+00,2.4,1.92,0.04,-0.36
-1.52224e+00,2.32,2.72,0.04,0.28
-1.52221e+00,2.4,2.24,0.04,-0.04
-1.52218e+00,2.4,2.56,0.04,0.2
-1.52214e+00,2.4,2.32,-0.04,-0.04
-1.52211e+00,2.48,2.48,0.04,0.2
-1.52208e+00,2.48,1.92,0.04,-0.36
-1.52205e+00,2.4,2.64,0.04,0.28
-1.52202e+00,2.4,2.32,0.04,-0.04
-1.52198e+00,2.4,2.48,0.04,0.2
-1.52195e+00,2.4,2.24,0.04,-0.04
-1.52192e+00,2.4,2.56,0.04,0.2
-1.52189e+00,2.48,1.92,0.04,-0.28
-1.52186e+00,2.4,2.56,0.04,0.28
-1.52182e+00,2.4,2.32,0.04,-0.04
-1.52179e+00,2.4,2.56,0.04,0.2
-1.52176e+00,2.32,1.92,0.04,-0.28
-1.52173e+00,2.4,2.64,0.04,0.28
-1.52170e+00,2.48,2.32,0.12,-0.04
-1.52166e+00,2.4,2.56,0.04,0.2
-1.52163e+00,2.4,2.32,0.04,-0.04
-1.52160e+00,2.4,2.48,0.04,0.2
-1.52157e+00,2.4,2,0.04,-0.28
-1.52154e+00,2.4,2.64,0.04,0.2
-1.52150e+00,2.4,2.32,0.04,-0.04
-1.52147e+00,2.4,2.48,0.04,0.2
-1.52144e+00,2.4,2.32,0.04,-0.04
-1.52141e+00,2.4,2.56,0.04,0.2
-1.52138e+00,2.4,1.92,-0.04,-0.36
-1.52134e+00,2.4,2.64,-0.04,0.28
-1.52131e+00,2.4,2.32,-0.04,-0.04
-1.52128e+00,2.32,2.56,0.04,0.2
-1.52125e+00,2.4,2.32,0.04,-0.04
-1.52122e+00,2.32,2.56,0.04,0.12
-1.52118e+00,2.32,1.92,0.04,-0.36
-1.52115e+00,2.4,2.64,0.04,0.28
-1.52112e+00,2.4,2.32,0.04,-0.04
-1.52109e+00,2.4,2.48,0.04,0.2
-1.52106e+00,2.4,2,0.04,-0.28
-1.52102e+00,2.32,2.64,0.04,0.28
-1.52099e+00,2.4,2.32,0.04,-0.04
-1.52096e+00,2.4,2.48,0.04,0.2
-1.52093e+00,2.4,2.24,0.04,-0.04
-1.52090e+00,2.4,2.56,-0.04,0.2
-1.52086e+00,2.4,2,0.04,-0.28
-1.52083e+00,2.4,2.64,0.04,0.28
-1.52080e+00,2.4,2.32,0.04,-0.04
-1.52077e+00,2.4,2.56,0.04,0.2
-1.52074e+00,2.32,2.32,0.04,-0.04
-1.52070e+00,2.4,2.56,0.04,0.2
-1.52067e+00,2.48,1.92,0.04,-0.28
-1.52064e+00,2.4,2.56,0.04,0.28
-1.52061e+00,2.4,2.32,0.04,-0.04
-1.52058e+00,2.4,2.48,0.04,0.2
-1.52054e+00,2.32,2.32,0.04,-0.04
-1.52051e+00,2.32,2.56,0.04,0.2
-1.52048e+00,2.4,1.92,0.04,-0.36
-1.52045e+00,2.4,2.64,0.04,0.28
-1.52042e+00,2.4,2.24,0.04,-0.04
-1.52038e+00,2.4,2.48,0.04,0.2
-1.52035e+00,2.4,1.92,0.04,-0.36
-1.52032e+00,2.4,2.64,0.04,0.28
-1.52029e+00,2.4,2.32,0.04,-0.04
-1.52026e+00,2.4,2.56,0.04,0.2
-1.52022e+00,2.4,2.32,0.04,-0.04
-1.52019e+00,2.4,2.48,0.04,0.2
-1.52016e+00,2.4,1.92,0.04,-0.28
-1.52013e+00,2.4,2.56,0.04,0.28
-1.52010e+00,2.4,2.32,0.04,-0.04
-1.52006e+00,2.4,2.56,-0.04,0.2
-1.52003e+00,2.4,2.32,-0.04,-0.04
-1.52000e+00,2.4,2.56,0.04,0.2
-1.51997e+00,2.32,2,0.04,-0.28
-1.51994e+00,2.32,2.64,0.04,0.28
-1.51990e+00,2.4,2.24,0.04,-0.04
-1.51987e+00,2.4,2.48,0.04,0.2
-1.51984e+00,2.4,2.24,0.04,-0.04
-1.51981e+00,2.4,2.48,0.04,0.2
-1.51978e+00,2.4,2,0.04,-0.28
-1.51974e+00,2.4,2.56,0.04,0.28
-1.51971e+00,2.32,2.32,0.04,-0.04
-1.51968e+00,2.4,2.48,0.04,0.2
-1.51965e+00,2.4,1.92,0.04,-0.36
-1.51962e+00,2.4,2.64,0.04,0.28
-1.51958e+00,2.4,2.32,-0.04,-0.04
-1.51955e+00,2.4,2.48,0.04,0.2
-1.51952e+00,2.4,2.32,0.04,-0.04
-1.51949e+00,2.4,2.56,0.04,0.2
-1.51946e+00,2.4,1.92,0.04,-0.36
-1.51942e+00,2.32,2.64,0.04,0.28
-1.51939e+00,2.4,2.24,0.04,-0.04
-1.51936e+00,2.4,2.48,0.04,0.2
-1.51933e+00,2.4,2.24,0.04,-0.04
-1.51930e+00,2.4,2.48,0.04,0.2
-1.51926e+00,2.4,2,0.04,-0.28
-1.51923e+00,2.4,2.64,0.04,0.28
-1.51920e+00,2.32,2.32,0.04,-0.04
-1.51917e+00,2.32,2.48,0.04,0.2
-1.51914e+00,2.4,2.24,0.04,-0.04
-1.51910e+00,2.4,2.56,0.04,0.2
-1.51907e+00,2.4,1.92,0.04,-0.28
-1.51904e+00,2.4,2.56,0.04,0.28
-1.51901e+00,2.4,2.32,0.04,-0.04
-1.51898e+00,2.4,2.48,0.04,0.2
-1.51894e+00,2.32,1.92,0.04,-0.28
-1.51891e+00,2.4,2.56,0.04,0.28
-1.51888e+00,2.4,2.24,0.12,-0.04
-1.51885e+00,2.4,2.48,0.04,0.2
-1.51882e+00,2.4,2.32,0.04,-0.04
-1.51878e+00,2.4,2.48,0.04,0.2
-1.51875e+00,2.4,1.92,0.04,-0.36
-1.51872e+00,2.32,2.64,0.04,0.28
-1.51869e+00,2.32,2.32,0.04,-0.04
-1.51866e+00,2.4,2.48,0.04,0.2
-1.51862e+00,2.32,2.24,0.04,-0.04
-1.51859e+00,2.4,2.56,0.04,0.2
-1.51856e+00,2.4,1.92,0.04,-0.36
-1.51853e+00,2.4,2.64,0.04,0.36
-1.51850e+00,2.4,2.32,0.04,-0.04
-1.51846e+00,2.4,2.48,0.04,0.2
-1.51843e+00,2.32,2.32,0.04,-0.04
-1.51840e+00,2.4,2.48,0.04,0.2
-1.51837e+00,2.32,1.92,0.04,-0.28
-1.51834e+00,2.4,2.56,0.04,0.28
-1.51830e+00,2.4,2.24,0.04,-0.04
-1.51827e+00,2.4,2.48,0.04,0.2
-1.51824e+00,2.4,2,-0.04,-0.28
-1.51821e+00,2.32,2.64,0.04,0.28
-1.51818e+00,2.32,2.24,0.04,-0.04
-1.51814e+00,2.32,2.48,0.04,0.2
-1.51811e+00,2.4,2.24,0.04,-0.04
-1.51808e+00,2.32,2.48,0.04,0.2
-1.51805e+00,2.4,1.92,0.04,-0.28
-1.51802e+00,2.4,2.56,0.04,0.28
-1.51798e+00,2.32,2.32,0.12,-0.04
-1.51795e+00,2.32,2.56,0.04,0.2
-1.51792e+00,2.32,2.24,0.04,-0.04
-1.51789e+00,2.32,2.48,0.04,0.2
-1.51786e+00,2.4,1.92,0.04,-0.36
-1.51782e+00,2.4,2.56,0.04,0.28
-1.51779e+00,2.4,2.24,0.04,-0.04
-1.51776e+00,2.4,2.48,0.04,0.2
-1.51773e+00,2.32,2.32,0.04,-0.04
-1.51770e+00,2.32,2.56,0.04,0.12
-1.51766e+00,2.32,1.92,0.04,-0.36
-1.51763e+00,2.32,2.64,0.04,0.28
-1.51760e+00,2.32,2.24,-0.04,-0.04
-1.51757e+00,2.4,2.56,0.04,0.2
-1.51754e+00,2.4,2.32,0.04,-0.04
-1.51750e+00,2.32,2.48,0.04,0.2
-1.51747e+00,2.4,2,0.04,-0.28
-1.51744e+00,2.32,2.64,0.04,0.28
-1.51741e+00,2.4,2.24,0.04,-0.04
-1.51738e+00,2.4,2.48,0.04,0.2
-1.51734e+00,2.32,1.92,0.04,-0.28
-1.51731e+00,2.32,2.56,0.12,0.28
-1.51728e+00,2.4,2.24,0.04,-0.04
-1.51725e+00,2.4,2.48,0.04,0.2
-1.51722e+00,2.32,2.32,0.04,-0.04
-1.51718e+00,2.4,2.48,0.04,0.2
-1.51715e+00,2.32,1.92,0.04,-0.28
-1.51712e+00,2.32,2.56,0.04,0.28
-1.51709e+00,2.4,2.24,0.04,-0.04
-1.51706e+00,2.4,2.48,0.04,0.2
-1.51702e+00,2.4,2.24,0.04,-0.04
-1.51699e+00,2.4,2.48,0.04,0.2
-1.51696e+00,2.32,1.92,0.04,-0.36
-1.51693e+00,2.32,2.72,0.04,0.28
-1.51690e+00,2.32,2.24,0.04,-0.04
-1.51686e+00,2.4,2.48,0.04,0.2
-1.51683e+00,2.4,2.24,0.04,-0.04
-1.51680e+00,2.4,2.48,0.04,0.2
-1.51677e+00,2.32,1.92,0.04,-0.36
-1.51674e+00,2.4,2.64,0.04,0.28
-1.51670e+00,2.4,2.32,0.04,-0.04
-1.51667e+00,2.32,2.48,0.12,0.2
-1.51664e+00,2.32,1.92,0.04,-0.28
-1.51661e+00,2.32,2.56,0.04,0.28
-1.51658e+00,2.4,2.24,0.04,-0.04
-1.51654e+00,2.4,2.48,0.04,0.2
-1.51651e+00,2.4,2.24,0.04,-0.04
-1.51648e+00,2.4,2.48,0.04,0.2
-1.51645e+00,2.32,1.92,0.04,-0.28
-1.51642e+00,2.32,2.64,0.04,0.28
-1.51638e+00,2.32,2.24,0.04,-0.04
-1.51635e+00,2.32,2.48,0.04,0.2
-1.51632e+00,2.4,2.24,0.04,-0.04
-1.51629e+00,2.4,2.48,0.04,0.2
-1.51626e+00,2.4,1.92,0.04,-0.28
-1.51622e+00,2.4,2.56,0.04,0.28
-1.51619e+00,2.4,2.32,0.04,-0.04
-1.51616e+00,2.32,2.48,0.04,0.2
-1.51613e+00,2.32,2.24,0.04,-0.04
-1.51610e+00,2.32,2.48,0.04,0.2
-1.51606e+00,2.32,1.92,0.04,-0.36
-1.51603e+00,2.4,2.56,0.04,0.28
-1.51600e+00,2.4,2.32,0.04,-0.04
-1.51597e+00,2.32,2.48,0.04,0.2
-1.51594e+00,2.4,1.92,0.04,-0.36
-1.51590e+00,2.32,2.64,0.04,0.28
-1.51587e+00,2.32,2.24,0.04,-0.04
-1.51584e+00,2.32,2.48,0.04,0.2
-1.51581e+00,2.4,2.24,0.04,-0.04
-1.51578e+00,2.4,2.48,0.04,0.2
-1.51574e+00,2.4,2,0.04,-0.28
-1.51571e+00,2.4,2.64,0.04,0.28
-1.51568e+00,2.4,2.32,0.04,-0.04
-1.51565e+00,2.32,2.48,0.04,0.2
-1.51562e+00,2.32,2.24,0.04,-0.04
-1.51558e+00,2.32,2.48,-0.04,0.2
-1.51555e+00,2.4,1.92,0.04,-0.28
-1.51552e+00,2.4,2.56,0.04,0.28
-1.51549e+00,2.4,2.24,0.04,-0.04
-1.51546e+00,2.4,2.48,0.04,0.2
-1.51542e+00,2.32,2.32,0.04,-0.04
-1.51539e+00,2.32,2.48,0.04,0.2
-1.51536e+00,2.32,1.92,0.04,-0.36
-1.51533e+00,2.4,2.64,0.04,0.28
-1.51530e+00,2.4,2.24,0.12,-0.04
-1.51526e+00,2.4,2.48,0.04,0.2
-1.51523e+00,2.4,1.92,0.04,-0.36
-1.51520e+00,2.32,2.64,0.04,0.28
-1.51517e+00,2.32,2.32,0.04,-0.04
-1.51514e+00,2.32,2.48,0.04,0.2
-1.51510e+00,2.32,2.24,0.04,-0.04
-1.51507e+00,2.32,2.48,0.04,0.2
-1.51504e+00,2.4,1.92,0.04,-0.36
-1.51501e+00,2.4,2.64,0.04,0.28
-1.51498e+00,2.4,2.24,0.04,-0.04
-1.51494e+00,2.32,2.48,0.04,0.2
-1.51491e+00,2.32,2.32,0.04,-0.04
-1.51488e+00,2.32,2.48,0.04,0.2
-1.51485e+00,2.32,1.92,0.04,-0.28
-1.51482e+00,2.4,2.56,0.12,0.28
-1.51478e+00,2.4,2.24,-0.04,-0.04
-1.51475e+00,2.4,2.48,0.04,0.2
-1.51472e+00,2.4,2.24,0.04,-0.04
-1.51469e+00,2.32,2.48,0.04,0.2
-1.51466e+00,2.32,2,0.04,-0.28
-1.51462e+00,2.32,2.64,0.04,0.28
-1.51459e+00,2.32,2.24,0.04,-0.04
-1.51456e+00,2.32,2.48,0.04,0.2
-1.51453e+00,2.4,1.92,0.04,-0.28
-1.51450e+00,2.4,2.56,0.04,0.28
-1.51446e+00,2.4,2.24,0.04,-0.04
-1.51443e+00,2.4,2.48,0.04,0.2
-1.51440e+00,2.32,2.24,0.04,-0.04
-1.51437e+00,2.32,2.48,0.04,0.2
-1.51434e+00,2.32,1.92,0.12,-0.36
-1.51430e+00,2.32,2.56,0.04,0.28
-1.51427e+00,2.32,2.24,0.04,-0.04
-1.51424e+00,2.4,2.48,0.04,0.2
-1.51421e+00,2.4,2.24,0.04,-0.04
-1.51418e+00,2.4,2.48,0.04,0.2
-1.51414e+00,2.32,1.92,0.04,-0.36
-1.51411e+00,2.32,2.64,0.04,0.28
-1.51408e+00,2.32,2.24,0.12,-0.04
-1.51405e+00,2.32,2.48,0.04,0.2
-1.51402e+00,2.32,2.24,0.04,-0.04
-1.51398e+00,2.4,2.48,0.04,0.2
-1.51395e+00,2.4,1.92,0.04,-0.28
-1.51392e+00,2.32,2.64,0.04,0.28
-1.51389e+00,2.4,2.32,0.12,-0.04
-1.51386e+00,2.32,2.48,0.04,0.2
-1.51382e+00,2.32,1.92,0.04,-0.28
-1.51379e+00,2.32,2.56,0.04,0.28
-1.51376e+00,2.32,2.24,0.04,-0.04
-1.51373e+00,2.4,2.48,0.04,0.2
-1.51370e+00,2.4,2.24,0.04,-0.04
-1.51366e+00,2.4,2.48,0.04,0.2
-1.51363e+00,2.32,1.92,0.04,-0.28
-1.51360e+00,2.32,2.64,0.12,0.28
-1.51357e+00,2.4,2.24,0.04,-0.04
-1.51354e+00,2.32,2.48,0.04,0.2
