Record Length,40000,,Source,CH1,CH2
Sample Interval,CH1:0.0000999999975 CH2:0.0000999999975,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-2.09999990463,-0.44000,-0.60000
Vertical Scale,CH1:1.00 CH2:1.00,,-2.09990000725,-0.56000,-0.84000
Vertical Offset,CH1:3.02000 CH2:-0.42000,,-2.09979987144,-0.56000,-0.88000
Horizontal Units,s,,-2.09969997406,-0.56000,-0.88000
Horizontal Scale,0.2500000000,,-2.09959983826,-0.56000,-0.84000
Model Number,2190E,,-2.09949994087,-0.56000,-0.84000
Serial Number,512C18110,,-2.09940004349,-0.56000,-0.80000
Software Version,6.01.01.19,,-2.09929990768,-0.56000,-0.84000
,,,-2.09920001030,-0.56000,-0.84000
,,,-2.09909987450,-0.56000,-0.88000
,,,-2.09899997711,-0.52000,-0.92000
,,,-2.09889984131,-0.56000,-0.84000
,,,-2.09879994392,-0.56000,-0.84000
,,,-2.09870004654,-0.56000,-0.80000
,,,-2.09859991074,-0.56000,-0.88000
,,,-2.09850001335,-0.56000,-0.84000
,,,-2.09839987755,-0.56000,-0.84000
,,,-2.09829998016,-0.56000,-0.92000
,,,-2.09819984436,-0.56000,-0.84000
,,,-2.09809994698,-0.56000,-0.84000
,,,-2.09800004959,-0.56000,-0.88000
,,,-2.09789991379,-0.56000,-0.80000
,,,-2.09780001640,-0.56000,-0.88000
,,,-2.09769988060,-0.56000,-0.84000
,,,-2.09759998322,-0.56000,-0.88000
,,,-2.09749984741,-0.56000,-0.88000
,,,-2.09739995003,-0.56000,-0.88000
,,,-2.09730005264,-0.56000,-0.84000
,,,-2.09719991684,-0.56000,-0.80000
,,,-2.09710001945,-0.56000,-0.84000
,,,-2.09699988365,-0.56000,-0.84000
,,,-2.09689998627,-0.56000,-0.88000
,,,-2.09679985046,-0.56000,-0.92000
,,,-2.09669995308,-0.56000,-0.84000
,,,-2.09660005569,-0.56000,-0.84000
,,,-2.09649991989,-0.56000,-0.80000
,,,-2.09640002251,-0.52000,-0.80000
,,,-2.09629988670,-0.56000,-0.84000
,,,-2.09619998932,-0.56000,-0.88000
,,,-2.09609985352,-0.56000,-0.84000
,,,-2.09599995613,-0.56000,-0.88000
,,,-2.09590005875,-0.56000,-0.84000
,,,-2.09579992294,-0.56000,-0.80000
,,,-2.09570002556,-0.56000,-0.80000
,,,-2.09559988976,-0.56000,-0.84000
,,,-2.09549999237,-0.56000,-0.84000
,,,-2.09539985657,-0.56000,-0.88000
,,,-2.09529995918,-0.56000,-0.88000
,,,-2.09520006180,-0.56000,-0.84000
,,,-2.09509992599,-0.56000,-0.80000
,,,-2.09500002861,-0.52000,-0.80000
,,,-2.09489989281,-0.52000,-0.80000
,,,-2.09479999542,-0.56000,-0.84000
