FileName, R_test, f_pwm, CH1, CH2
BK000001.CSV, 1KOhm, 31KHz, ReCe, We
BK000002.CSV, 10KOhm, 31KHz, ReCe, We
BK000003.CSV, 1KOhm, 31KHz, ReCe, We
BK000004.CSV, 1KOhm, 3.9KHz, ReCe, We
BK000005.CSV, 10KOhm, 3.9KHz, ReCe, We
BK000006.CSV, 10KOhm, 3.9KHz, Vo, A0
BK000007.CSV, 10KOhm, 31KHz, Vo, A0
BK000008.CSV, 1KOhm, 31KHz, Vo, A0
BK000009.CSV, 1KOhm, 3.9KHz, Vo, A0
